ax,ay,az,gx,gy,gz,dt
0.0683,0.0062,0.9991,0.3506,0.6021,-0.6479,0.012000
0.0707,0.0079,0.9995,0.3506,0.6098,-0.5793,0.012000
0.0649,0.0063,1.0041,0.2668,0.5716,-0.5564,0.012000
0.0688,0.0050,1.0033,0.2058,0.5488,-0.5335,0.012000
0.0698,0.0059,0.9991,0.4116,0.6860,-0.5107,0.012000
0.0731,0.0042,0.9959,0.1372,0.4573,-0.5412,0.012000
0.0702,0.0024,1.0022,0.2896,0.6174,-0.5107,0.012000
0.0705,0.0051,0.9990,0.3354,0.6021,-0.5945,0.012000
0.0696,0.0058,0.9988,0.2134,0.6326,-0.5030,0.012000
0.0715,0.0070,0.9998,0.2058,0.5716,-0.5412,0.012000
0.0704,0.0062,0.9973,0.3582,0.6631,-0.6326,0.012000
0.0685,0.0049,0.9999,0.3354,0.6250,-0.5640,0.012000
0.0704,0.0062,1.0006,0.3735,0.5488,-0.5564,0.012000
0.0696,0.0056,0.9976,0.3277,0.5793,-0.5259,0.012000
0.0704,0.0049,0.9980,0.3430,0.6174,-0.5488,0.012000
0.0687,0.0037,1.0002,0.3201,0.5564,-0.5564,0.012000
0.0690,0.0046,0.9982,0.3354,0.5640,-0.5259,0.012000
0.0723,0.0047,1.0011,0.3582,0.5030,-0.5488,0.012000
0.0725,0.0067,1.0024,0.2287,0.5259,-0.6021,0.012000
0.0692,0.0043,0.9984,0.3735,0.6479,-0.6021,0.012000
0.0685,0.0049,0.9995,0.2668,0.5945,-0.5030,0.012000
0.0663,0.0070,1.0012,0.2591,0.6860,-0.5945,0.012000
0.0703,0.0051,1.0001,0.2668,0.6021,-0.5335,0.012000
0.0694,0.0056,0.9980,0.2058,0.6021,-0.4649,0.012000
0.0694,0.0037,0.9985,0.3049,0.5183,-0.5412,0.012000
0.0715,0.0060,1.0003,0.2210,0.4878,-0.5716,0.012000
0.0706,0.0052,0.9993,0.2820,0.6174,-0.5640,0.012000
0.0705,0.0059,0.9988,0.2058,0.6326,-0.5335,0.012000
0.0674,0.0056,0.9999,0.1905,0.6174,-0.4954,0.012000
0.0686,0.0046,0.9993,0.3201,0.6021,-0.5488,0.012000
0.0694,0.0049,0.9993,0.3354,0.5564,-0.6021,0.012000
0.0682,0.0060,1.0019,0.2820,0.5030,-0.5183,0.012000
0.0693,0.0053,1.0002,0.2363,0.5793,-0.5335,0.012000
0.0666,0.0056,0.9985,0.2058,0.6250,-0.6021,0.012000
0.0682,0.0073,1.0010,0.2973,0.5869,-0.6098,0.012000
0.0704,0.0049,1.0001,0.3049,0.6021,-0.5869,0.012000
0.0708,0.0046,0.9977,0.3125,0.5488,-0.5564,0.012000
0.0693,0.0035,0.9966,0.2439,0.5640,-0.5564,0.012000
0.0688,0.0041,1.0010,0.2591,0.5640,-0.5412,0.012000
0.0684,0.0063,0.9991,0.2820,0.5412,-0.5716,0.012000
0.0682,0.0068,0.9990,0.2287,0.5412,-0.6098,0.012000
0.0715,0.0054,0.9995,0.2210,0.5412,-0.5793,0.012000
0.0701,0.0051,1.0001,0.3049,0.5335,-0.6326,0.012000
0.0696,0.0062,1.0001,0.2896,0.6250,-0.6250,0.012000
0.0687,0.0056,1.0014,0.1143,0.6021,-0.5107,0.012000
0.0713,0.0050,1.0007,0.2439,0.5945,-0.5259,0.012000
0.0681,0.0055,0.9982,0.2973,0.5488,-0.6174,0.012000
0.0688,0.0051,1.0014,0.3201,0.5107,-0.5564,0.012000
0.0704,0.0043,1.0007,0.4116,0.6250,-0.6174,0.012000
